Line number,Character,Place,Time,Line,Word count,sentiment_sc
410,Ed Sullivan,int. Jackrabbit Slim's (dining area),night,One lucky couple will win this handsome trophy that Marilyn here is holding,13,0.8847
414,Vincent,int. Jackrabbit Slim's (dining area),night,No no no no no no no no,8,-0.9274
415,Mia,int. Jackrabbit Slim's (dining area),night,No no no no no no no I do believe Marsellus my husband your boss told you to take me out and do whatever I wanted Now I want to dance I want to win I want that trophy,39,-0.7717
417,Mia,int. Jackrabbit Slim's (dining area),night,So dance good,3,0.4902
421,Mia,int. Jackrabbit Slim's (dining area),night,Missus Mia Wallace,3,-0.296
425,Vincent,int. Marsellus Wallace's home,night,Was than an uncomfortable silence,5,-0.3818
427,Vincent,int. Marsellus Wallace's home,night,Im gonna take a piss,5,-0.4019
430,Vincent,int. bathroom (Marsellus Wallace's house),night,One drink and leave Dont be rude but drink your drink quickly say goodbye walk out the door get in your car and go down the road,27,0.163
431,Vincent,int. bathroom (Marsellus Wallace's house),night,Its a moral test of yourself whether or not you can maintain loyalty Because when people are loyal to each other thats very meaningful,24,0.8479
432,Vincent,int. bathroom (Marsellus Wallace's house),night,So youre gonna go out there drink your drink say Goodnight Ive had a very lovely evening go home and jack off And thats all youre gonna do,28,0.624
434,Vincent,int. Marsellus' house / living room,night,Mia MIA What the hell happened,6,-0.8668
435,Vincent,int. Marsellus' house / living room,night,Ill be a sonofabitch Mia MIA What did you take Answer me honey what did you take,17,-0.7865
436,Vincent,int. Marsellus' house / living room,night,Okay honey were getting you on your feet,8,0.2263
438,Preacher (Emil Simkus),int. Lance's house,night,Hold hands you love birds,5,0.6369
441,Jody,int. Lance's house,night,I thought you told those fuckin assholes never to call this late,12,-0.5859
443,Vincent,int. Vincent's malibu (moving),night,Lance this is Vincent Im in big fuckin trouble man Im on my way to your place,17,-0.4019
444,Lance,int. Lance's house,night,Whoa hold you horses man whats the problem,8,-0.4019
448,Lance,int. Lance's house,night,Dont bring her here Im not even fuckin joking with you dont you be bringing some fucked up poohbutt to my house,22,-0.7241
449,Vincent,int. Vincent's malibu (moving),night,No choice,2,-0.296
451,Vincent,int. Vincent's malibu (moving),night,Yeah Shes dyin,3,0.296
453,Vincent,int. Vincent's malibu (moving),night,Negative,1,-0.5719
454,Lance,int. Lance's house,night,She aint my fuckin problem you fucked her up you deal with it  are you talkin to me on a cellular phone,22,-0.484
455,Vincent,int. Vincent's malibu (moving),night,Sorry,1,-0.0772
458,Jody,int. Lance's house,night,What the hell was that,5,-0.6808
459,Lance,ext. Lance's house,night,Have you lost your mind You crashed your car in my fuckin house You talk about drug shit on a cellular fuckin phone ,23,-0.7096
460,Vincent,ext. Lance's house,night,If youre through havin your little hissy fit this chick is dyin get your needle and git it now,19,0.3008
461,Lance,ext. Lance's house,night,Are you deaf Youre not bringin that fucked up bitch in my house,13,-0.0731
462,Vincent,ext. Lance's house,night,This fucked up bitch is Marsellus Wallaces wife Now if she fuckin croaks on me Im a grease spot But before he turns me into a bar soap Im gonna be forced to tell im about how you coulda saved her life but instead you let her die on your front lawn,52,-0.8945
463,Jody,living room,night,Its only onethirty in the goddamn mornin What the fucks goin on out here,14,-0.7351
466,Jody,living room,night,Whats wrong with her,4,-0.4767
468,Jody,living room,night,Well get her the hell outta here,7,-0.5423
472,Vincent,living room,night,You two are a match made in heaven,8,0.5106
473,Lance,living room,night,Look just keep talkin to her okay While shes gettin the shot I gotta get a medical book,18,0.2263
477,Lance,living room,night,I never had to use it I dont go joypoppin with bubblegummers all of my friends can handle their highs,20,0.4767
478,Vincent,living room,night,Well then get it,4,0.2732
481,Lance,living room,night,Stop talkin to me and start talkin to her,9,-0.296
489,Lance,int. spare room,night,My black fuckin medical book Its like a text book they give to nurses,14,0.3612
491,Lance,int. spare room,night,Trust me I have one,5,0.5106
492,Jody,int. spare room,night,Well if its that important why didnt you keep it with the shot,13,0.4404
493,Lance,int. spare room,night,I dont know Stop bothering me,6,0.4717
494,Jody,int. spare room,night,While youre lookin for it that girls gonna die on our carpet Youre never gonna find it in all this shit For six months now Ive been telling you to clean this room ,33,-0.7543
495,Vincent,int. spare room,night, get your ass in here fuck the book,8,-0.7906
499,Lance,living room,night,Yeah it has to be exact Im giving her an injection in the heart so I gotta exactly hit her in the heart,23,0.5574
500,Vincent,living room,night,Well I dont know exactly where her heart is I think its here,13,0.2732
504,Vincent,living room,night,I need a big fat magic marker any felt penll do but a magic marker would be great,18,0.7684
506,Lance,living room,night,Its ready Ill tell you what to do,8,-0.0772
508,Lance,living room,night,No youre gonna give her the shot,7,-0.296
510,Lance,living room,night,Ive never done this before either and I aint starting now You brought er here that means you give her the shot The day I bring an ODing bitch to your place then I gotta give her the shot,39,-0.5859
512,Vincent,living room,night,Okay what do I do,5,0.2263
513,Lance,living room,night,Well youre giving her an injection of adrenaline straight to her heart But shes got a breast plate in front of her heart so you gotta pierce through that So what you gotta do is bring the needle down in a stabbing motion,43,0.4019
514,Vincent,living room,night,I gotta stab her,4,-0.5859
515,Lance,living room,night,If you want the needle to pierce through to her heart you gotta stab her hard Then once you do push down on the plunger,25,-0.5994
517,Lance,living room,night,Im curious about that myself,5,0.3182
518,Vincent,living room,night,This aint a fuckin joke man,6,-0.2235
519,Lance,living room,night,Shes supposed to come out of it like   that,9,0.3612
524,Lance,living room,night,If youre okay say something,5,0.2263
526,Jody,living room,night,Anybody want a beer,4,0.0772
527,Vincent,ext. front of Marsellus Wallace's house,night,Mia,1,-0.296
530,Vincent,ext. front of Marsellus Wallace's house,night,Well Im of the opinion that Marsellus can live his whole live and never ever hear of this incident,19,0.2732
531,Mia,ext. front of Marsellus Wallace's house,night,Dont worry about it If Marsellus ever heard of this Id be in as much trouble as you,18,-0.0757
532,Vincent,ext. front of Marsellus Wallace's house,night,I seriously doubt that,4,-0.4939
534,Vincent,ext. front of Marsellus Wallace's house,night,Lets shake on it,4,-0.1779
536,Vincent,ext. front of Marsellus Wallace's house,night,If youll excuse me I gotta go home and have a heart attack,13,-0.4215
537,Mia,ext. front of Marsellus Wallace's house,night,You still wanna hear my FOX FORCE FIVE joke,9,0.296
538,Vincent,ext. front of Marsellus Wallace's house,night,Sure but I think Im still a little too petrified to laugh,12,0.2999
539,Mia,ext. front of Marsellus Wallace's house,night,Uhhuh You wont laugh because its not funny But if you still wanna hear it Ill tell it,18,-0.748
541,Mia,ext. front of Marsellus Wallace's house,night,Three tomatoes are walking down the street a poppa tomato a momma tomato and a little baby tomato The baby tomato is lagging behind the poppa and momma tomato The poppa tomato gets mad goes over to the momma tomato and stamps on him   and says catch up,48,-0.6486
544,Mother,ext. front of Marsellus Wallace's house,night,Butch stop watching TV a second We got a special visitor Now do you remember when I told you your daddy dies in a POW camp,26,0.128
546,Mother,ext. front of Marsellus Wallace's house,night,Well this here is Capt Koons He was in the POW camp with Daddy,14,0.2732
547,Capt. Koons,ext. front of Marsellus Wallace's house,night,Hello little man Boy I sure heard a bunch about you See I was a good friend of your Daddys We were in that Hanoi pit of hell over five years together Hopefully youll never have to experience this yourself but when two men are in a situation like me and your Daddy were for as long as we were you take on certain responsibilities of the other If it had been me who had not made it Major Coolidge would be talkin right now to my son Jim But the way it worked out is Im talkin to you Butch I got somethin for ya,106,0.8185
548,Capt. Koons,ext. front of Marsellus Wallace's house,night,This watch I got here was first purchased by your greatgranddaddy It was bought during the First World War in a little general store in Knoxville Tennessee It was bought by private Doughboy Ernie Coolidge the day he set sail for Paris It was your greatgranddaddys war watch made by the first company to ever make wrist watches You see up until then people just carried pocket watches Your greatgranddaddy wore that watch every day he was in the war Then when he had done his duty he went home to your great grandmother took the watch off his wrist and put it in an ol coffee can And in that can it stayed til your grandfather Dane Coolidge was called upon by his country to go overseas and fight the Germans once again This time they called it World War Two Your greatgranddaddy gave it to your granddad for good luck Unfortunately Danes luck wasnt as good as his old mans Your granddad was a Marine and he was killed with all the other Marines at the battle of Wake Island Your granddad was facing death and he knew it None of those boys had any illusions about ever leavin that island alive So three days before the Japanese took the island your year old grandfather asked a gunner on an Air Force transport named Winocki a man he had never met before in his life to deliver to his infant son who he had never seen in the flesh his gold watch Three days later your grandfather was dead But Winocki kept his word After the war was over he paid a visit to your grandmother delivering to your infant father his Dads gold watch This watch This watch was on your Daddys wrist when he was shot down over Hanoi He was captured and put in a Vietnamese prison camp Now he knew if the gooks ever saw the watch itd be confiscated The way your Daddy looked at it that watch was your birthright And hed be damned if and slopeheads were gonna put their greasy yella hands on his boys birthright So he hid it in the one place he knew he could hide somethin His ass Five long years he wore this watch up his ass Then when he died of dysentery he gave me the watch I hid with uncomfortable hunk of metal up my ass for two years Then after seven years I was sent home to my family And now little man I give the watch to you,427,-0.9947
550,Butch,int. locker room,night,Im ready,2,0.3612
551,Sportscaster #1,int. locker room,night, Well Dan that had to be the bloodiest and handsdown the most brutal fight this city has ever seen,19,-0.7328
552,Sportscaster #1,ext. alley (raining),night,Coolidge was out of there faster than Ive ever seen a victorious boxer vacate the ring Do you think he knew Willis was dead,24,-0.6486
553,Sportscaster #2,ext. alley (raining),night,My guess would be yes Richard I could see from my position here the frenzy in his eyes give way to the realization of what he was doing I think any man wouldve left the ring that fast,38,0.1027
554,Sportscaster #1,int. taxi (parked / raining),night,Do you feel this ring death tragedy will have an effect on the world of boxing,16,-0.8519
555,Sportscaster #2,int. taxi (parked / raining),night,Oh Dan a tragedy like this cant help but shake the world of boxing to its very foundation But its of paramount importance that during the sad weeks ahead the eyes of the WBA remain firmly fixed on the ,39,-0.4023
560,Vincent,int. Willis locker room (auditorium),night,Mia How you doin,4,-0.296
561,Mia,int. Willis locker room (auditorium),night,Great I never thanked you for the dinner,8,0.4007
564,Marsellus,int. Willis locker room (auditorium),night,Im prepared to scour the earth for this motherfucker If Butch goes to Indo China I want a nigger hidin in a bowl of rice ready to pop a cap in his ass,33,-0.891
565,English Dave,int. Willis locker room (auditorium),night,Ill take care of it,5,0.1027
570,Esmarelda,int. cab (moving / raining),night,You were in that fight The fight on the radio  youre the fighter,13,-0.5574
572,Esmarelda,int. cab (moving / raining),night,No cmon youre him I know youre him tell me youre him,12,-0.296
574,Esmarelda,int. cab (moving / raining),night,You killed the other boxing man,6,-0.6705
575,Butch,int. cab (moving / raining),night,Hes dead,2,-0.6486
576,Esmarelda,int. cab (moving / raining),night,The radio said he was dead,6,-0.6486
577,Butch,int. cab (moving / raining),night,Sorry bout that Floyd,4,-0.0772
578,Esmarelda,int. cab (moving / raining),night,What does it feel like,5,0.3612
579,Butch,int. cab (moving / raining),night,What does what feel like,5,0.3612
580,Esmarelda,int. cab (moving / raining),night,Killing a man Beating another man to death with your bare hands,12,-0.9062
581,Butch,int. cab (moving / raining),night,Are you some kinda weirdo,5,-0.3626
582,Esmarelda,int. cab (moving / raining),night,No its a subject I have much interest in You are the first person I ever met who has killed somebody So what was it like to kill a man,30,-0.7845
583,Butch,int. cab (moving / raining),night,Tell ya what you give me one of them cigarettes Ill give you an answer,15,-0.4215
588,Butch,int. cab (moving / raining),night,Its a very pretty name,5,0.5413
590,Butch,int. cab (moving / raining),night,Thats one hell of a name you got there sister,10,-0.6808
591,Esmarelda,int. cab (moving / raining),night,Thank you And what is your name,7,0.3612
594,Butch,int. cab (moving / raining),night,Im an American our names dont mean shit Anyway moving right along what is it you wanna know Esmarelda,19,0.4449
595,Esmarelda,int. cab (moving / raining),night,I want to know what it feels like to kill a man ,12,-0.4404
596,Butch,int. cab (moving / raining),night, I couldnt tell ya I didnt know he was dead til you told me he was dead Now I know hes dead do you wanna know how I feel about it,31,-0.9313
597,Butch,int. cab (moving / raining),night,I dont feel the least little bit bad,8,-0.4976
598,Butch,ext. phone booth (raining),night,Whatd I tell ya soon as the word got out a fix was in the odds would be outta control Hey if he was a better fighter hes be alive If he never laced up his gloves in the first place which he never shoulda done hed be alive Enough about the poor unfortunate Mr Floyd lets talk about the rich and prosperous Mr Butch How many bookies you spread it around with Eight How long to collect So by tomorrow evening youll have it all Good news Scotty real good news  I understand a few stragglers aside Me an Fabiennere gonna leave in the morning It should take us a couple days to get into Knoxville Next time we see each other itll be on Tennessee time,128,0.9313
599,Butch,ext. phone booth (raining),night,Fabienne my love our adventure begins,6,0.7579
603,Esmarelda,ext. motel (stopped / raining),night,The truth Three welldressed slightly toasted Mexicans,7,0.3182
605,Esmarelda,ext. motel (stopped / raining),night,Sleep well Butch,3,0.2732
607,Butch,int. motel (room six),night,Is that better sugar pop,5,0.4404
608,Fabienne,int. motel (room six),night,Oui Hard day at the office,6,-0.1027
609,Butch,int. motel (room six),night,Pretty hard I got into a fight,7,0.0516
610,Fabienne,int. motel (room six),night,Poor baby Can we make spoons,6,-0.4767
613,Fabienne,int. motel (room six),night,I wish I had a pot,6,0.4019
614,Butch,int. motel (room six),night,You were lookin in the mirror and you wish you had some pot,13,0.4019
615,Fabienne,int. motel (room six),night,A pot A pot belly Pot bellies are sexy,9,0.5267
616,Butch,int. motel (room six),night,Well you should be happy cause you do,8,0.7003
617,Fabienne,int. motel (room six),night,Shut up Fatso I dont have a pot I have a bit of a tummy like Madonna when she did Lucky Star its not the same thing,27,0.6486
619,Fabienne,int. motel (room six),night,The difference is huge,4,0.3182
620,Butch,int. motel (room six),night,You want me to have a pot,7,0.0772
621,Fabienne,int. motel (room six),night,No Pot bellies make a man look either oafish or like a gorilla But on a woman a pot belly is very sexy The rest of you is normal Normal face normal legs normal hips normal ass but with a big perfectly round pot belly If I had one Id wear a teeshirt two sizes too small to accentuate it,60,0.8042
622,Butch,int. motel (room six),night,You think guys would find that attractive,7,0.4404
623,Fabienne,int. motel (room six),night,I dont give a damn what men find attractive Its unfortunate what we find pleasing to the touch and pleasing to the eye is seldom the same,27,0.8384
627,Fabienne,int. motel (room six),night,Id smother you Id drop it on your right on your face til you couldnt breathe,16,-0.5994
629,Fabienne,int. motel (room six),night,Yes,1,0.4019
631,Fabienne,int. motel (room six),night,Yes I did,3,0.4019
632,Butch,int. motel (room six),night,Good job,2,0.4404
635,Fabienne,int. motel (room six),night,I never listen to your fights Were you the winner,10,0.2732
636,Butch,int. motel (room six),night,I won alright,3,0.6908
638,Butch,int. motel (room six),night,Sure am,2,0.3182
639,Fabienne,int. motel (room six),night,What about the man you fought,6,-0.3182
641,Fabienne,int. motel (room six),night,Really He wont be fighting no more,7,0.4585
642,Butch,int. motel (room six),night,Not no more,3,0.2235
645,Fabienne,int. motel (room six),night,Were in a lot of danger arent we,8,-0.5267
646,Fabienne,int. motel (room six),night,If they find us theyll kill us wont they,9,-0.6908
648,Fabienne,int. motel (room six),night,Do you still want me to go with you,9,0.0772
649,Fabienne,int. motel (room six),night,I dont want to be a burden or a nuisance ,10,-0.4805
651,Butch,int. motel (room six),night,Fabienne I want you to be with me,8,0.0772
654,Fabienne,int. motel (room six),night,Do you love me,4,0.6369
656,Fabienne,int. motel (room six),night,Butch Will you give me oral pleasure,7,0.5719
657,Butch,int. motel (room six),night,Will you kiss it,4,0.4215
659,Fabienne,int. motel (room six),night,Butch my love the adventure begins,6,0.7579
661,Fabienne,int. motel (room six),night,Giving me oral pleasure,4,0.7269
662,Butch,int. motel (room six),night,No retard from the fight,5,-0.802
663,Fabienne,int. motel (room six),night,Dont call me retard,4,0.4168
665,Fabienne,int. motel (room six),night,Shut up fuck head I hate that Mongoloid voice,9,-0.802
666,Butch,int. motel (room six),night,Okay sorry sorry sorry I take it back Can I have a towel please Miss Beautiful Tulip,17,0.6808
667,Fabienne,int. motel (room six),night,Oh I like that I like being called a tulip Tulip is much better than Mongoloid,16,0.7845
668,Butch,int. motel (room six),night,I didnt call you a Mongoloid I called you a retard but I took it back,16,-0.296
671,Butch,int. motel (room six),night,Yes lemon pie,3,0.4019
673,Butch,int. motel (room six),night,Im not sure yet Wherever you want Were gonna get a lot of money from this But it aint gonna be so much we can live like hogs in the fat house forever I was thinking we could go somewhere in the South Pacific The kinda money well havell carry us a long way down there,56,0.6312
677,Butch,int. motel (room six),night,You dont speak Bora Boran either Besides Mexican is easy Donde esta el zapataria,14,0.4404
681,Butch,int. motel (room six),night,Excellent pronunciation Youll be my little mama ceta in no time,11,0.3612
686,Butch,int. motel (room six),night,Time for bed Sweet dream jellybean,6,0.6124
688,Fabienne,int. motel (room six),night,Forget it,2,-0.2263
689,Fabienne,int. motel (room six),morning,Merde You startled me Did you have a bad dream,10,-0.4939
691,Fabienne,int. motel (room six),morning,A motorcycle movie Im not sure the name,8,-0.2411
693,Fabienne,int. motel (room six),morning,In a way Why Would you like for me to switch it off,13,0.3612
694,Butch,int. motel (room six),morning,Would you please,3,0.3182
695,Butch,int. motel (room six),morning,Its a little too early in the morning for explosions and war,12,-0.5994
698,Fabienne,int. motel (room six),morning,No imbecile what was your dream about,7,-0.5267
699,Butch,int. motel (room six),morning,Oh I dont remember Its really rare I remember a dream,11,0.3102
701,Butch,int. motel (room six),morning,Fabienne Im not lying to you I dont remember,9,0.4168
702,Fabienne,int. motel (room six),morning,Well lets look at the grumpy man in the morning I didnt say you were lying its just odd you dont remember your dreams I always remember mine Did you know you talk in your sleep,36,-0.7057
707,Fabienne,int. motel (room six),morning,Why dont you get up and well get some breakfast at that breakfast place with the pancakes,17,0.2732
708,Butch,int. motel (room six),morning,One more kiss and Ill get up,7,0.0076
709,Fabienne,int. motel (room six),morning,Satisfied,1,0.4215
710,Butch,int. motel (room six),morning,Yep,1,0.296
711,Fabienne,int. motel (room six),morning,Then get up lazy bones,5,-0.3612
715,Fabienne,int. motel (room six),morning,Im gonna order a big plate of blueberry pancakes with maple syrup eggs over easy and five sausages,18,0.4404
717,Fabienne,int. motel (room six),morning,Oh yes that looks nice To drink a tall glass or orange juice and a black cup of coffee After that Im going to have a slice of pie,29,0.6705
719,Fabienne,int. motel (room six),morning,Any time of the day is a good time for pie Blueberry pie to go with the pancakes And on top a thin slice of melted cheese ,27,0.5719
722,Butch,int. motel (room six),morning,No its not Its not here,6,-0.296
724,Butch,int. motel (room six),morning,Yes Ive fuckin looked,4,0.4019
725,Butch,int. motel (room six),morning,What the fuck do you think Im doing Are you sure you got it,14,-0.296
726,Fabienne,int. motel (room six),morning,Uhhh yes beside the table drawer ,6,0.4019
728,Fabienne,int. motel (room six),morning,Yes it was on your little kangaroo,7,0.4019
729,Butch,int. motel (room six),morning,Well its not here,4,0.2732
730,Fabienne,int. motel (room six),morning,Well it should be,4,0.2732
731,Butch,int. motel (room six),morning,Oh it most definitely should be here but its not So where is it,14,0.2492
732,Butch,int. motel (room six),morning,Fabienne that was my fathers fuckin watch You know what my father went through to git me that watch I dont wanna get into it right now but he went through a lot Now all this other shit you coulda set on fire but I specifically reminded you not to forget my fathers watch Now think did you get it,60,-0.7906
736,Butch,int. motel (room six),morning,Are you sure,3,0.3182
737,Fabienne,int. motel (room six),morning,No,1,-0.296
738,Butch,int. motel (room six),morning,No Its not your fault You left it at the apartment,11,0.015
739,Butch,int. motel (room six),morning,If you did leave it at the apartment its not your fault I had you bring a bunch of stuff I reminded you about it but I didnt illustrate how personal the watch was to me If all I gave a fuck about was my watch I shouldve told you You aint a mind reader,55,-0.6394
740,Fabienne,int. motel (room six),morning,Im sorry,2,-0.0772
745,Butch,int. motel (room six),morning,Thats what Im gonna find out If they are and I dont think I can handle it Ill split,19,-0.4215
746,Fabienne,int. motel (room six),morning,I was so dreadful I saw your watch I thought I brought it Im so sorry,16,-0.6039
747,Butch,int. motel (room six),morning,Dont feel bad sugar pop Nothing you could ever do would make me permanently angry at you I love you remember Now heres some money order those pancakes and have a great breakfast,33,0.8338
749,Butch,int. motel (room six),morning,Ill be back before you can say blueberry pie,9,-0.4215
751,Butch,int. motel (room six),morning,Well maybe not that fast but fast Okay Okay,9,0.6428
752,Fabienne,int. motel (room six),morning,Okay,1,0.2263
756,Fabienne,int. motel (room six),morning,Okay,1,0.2263
757,Butch,int. Honda (moving),day,Of all the fuckin things she coulda forgot she forgets my fathers watch I specifically reminded her not to forget it Bedside table  on the kangaroo I said the words Dont forget my fathers watch,35,0.3252
758,Butch,int. Butch's apartment,day,Holy shit,2,-0.5574
760,Pedestrian,int. Honda,day,Jesus are you okay,4,0.2263
762,Gawker #1,int. Honda,day,Hes dead Hes dead,4,-0.8625
763,Gawker #2,int. Honda,day,If you need a witness in court Ill be glad to help He was a drunken maniac He hit you and crashed into that car,25,-0.0516
766,Marsellus,int. Honda,day,Well Ill be damned,4,-0.5106
768,Looky-loo woman,int. Honda,day,Oh my God Ive been shot,6,0.2732
769,Maynard,int. Mason-Dixie pawnshop,day,Can I help you wit somethin,6,0.4019
771,Maynard,int. Mason-Dixie pawnshop,day,Now you just wait one goddamn minute ,7,-0.4767
772,Butch,int. Mason-Dixie pawnshop,day,So you like chasing people huh,6,0.4173
773,Butch,int. Mason-Dixie pawnshop,day,Well guess what big man you caught me ,8,0.2732
776,Maynard,int. Mason-Dixie pawnshop,day, Im makin it my business Now toss that gun,9,-0.34
777,Maynard,int. Mason-Dixie pawnshop,day,Now you on top stand up and come to the counter,11,0.2023
779,Maynard,int. pawnshop back room,day,Nobody kills anybody in my place of business except me or Zed,12,-0.5423
784,Maynard,int. pawnshop back room,day,They did that to each other They was fightin when they came in This one was gonna shoot that one,20,-0.34
785,Zed,int. pawnshop back room,day,You were gonna shoot him,5,-0.34
786,Zed,int. pawnshop back room,day,Hey is Grace gonna be okay in front of this place,11,0.5719
787,Maynard,int. pawnshop back room,day,Yeah it aint Tuesday is it,6,0.296
788,Zed,int. pawnshop back room,day,No its Thursday,3,-0.296
789,Maynard,int. pawnshop back room,day,Then shell be fine,4,0.2023
792,Zed,int. pawnshop back room,day,Well I guess youll just wake em up then wont you,11,0.2732
796,Zed,int. pawnshop back room,day,I aint fer sure yet,5,-0.2411
798,Maynard,int. pawnshop back room,day,Naw drag big boy to Russells old room,8,-0.2263
801,Maynard,int. pawnshop back room,day,Whoa this boys got a bit of fight in em,10,-0.3818
802,Zed,int. pawnshop back room,day,You wanna fight You wanna fight Good I like to fight,11,-0.34
803,Maynard,int. pawnshop back room,day,Thats it thats it boy youre goin fine Oooooooh just like that thats good Stay still stay still goddamn ya Zed goddammit git over here and hold em,28,0.4767
806,Butch,int. Russell's old room,day,You want that gun Zed Pick it up,8,-0.2732
808,Butch,int. Russell's old room,day,You okay,2,0.2263
809,Marsellus,int. Russell's old room,day,Naw man Im pretty fuckin far from okay,8,0.6249
811,Marsellus,int. Russell's old room,day,What now Well let me tell you what now Im gonna call a couple pipe hittin niggers wholl go to work on homes here with a pair of pliers and a blow torch Hear me talkin hillbilly boy I aint through with you by a damn sight Im gonna git Medieval on your ass,54,-0.6249
813,Marsellus,int. Russell's old room,day,Oh that what now Well let me tell ya what now between me an you There is no me an you Not no more,24,-0.3182
814,Butch,int. Russell's old room,day,So were cool,3,0.3774
815,Marsellus,int. Russell's old room,day,Yeah man were cool One thing I ask  two things I ask Dont tell nobody about this This shits between me and you and the soontobelivin therestofhisshortasslifein agonizingpain Mr Rapist here It aint nobody elses business Two leave town Tonight Right now And when youre gone stay gone Youve lost your Los Angeles privileges Deal,55,-0.6597
817,Marsellus,int. Russell's old room,day,Go on now get your ass outta here,8,-0.5423
819,Fabienne,ext. motel room,day,Butch I was so worried,5,-0.4341
822,Butch,ext. motel room,day,Fuck the bags Well miss our train if we dont split now,12,-0.4588
823,Fabienne,ext. motel room,day,Is everything well Are we in danger,7,-0.3182
824,Butch,ext. motel room,day,Were cool In fact were super cool But we gots to go Ill wait for you outside,17,0.0129
828,Butch,ext. motel room,day,Sorry baby I crashed the Honda,6,-0.0772
829,Fabienne,ext. motel room,day,Youre hurt,2,-0.5267
830,Butch,ext. motel room,day,I mightve broke my nose no biggie Hop on,9,-0.6124
832,Butch,ext. motel room,day,Im sorry babylove,3,-0.0772
833,Fabienne,ext. motel room,day,You were gone so long I started to think dreadful thoughts,11,-0.4404
834,Butch,ext. motel room,day,Im sorry I worried you sweetie Everythings fine Hey how was breakfast,12,0.3612
835,Fabienne,ext. motel room,day,It was good ,3,0.4404
837,Fabienne,ext. motel room,day,No they didnt have blueberry pancakes I had to get buttermilk  are you sure youre okay,16,0.25
838,Butch,ext. motel room,day,Babylove from the moment I left you this has been without a doubt the single weirdest day of my entire life Climb on an Ill tell ya about it,29,-0.3798
844,Butch,ext. motel room,day,Zeds dead baby Zeds dead,5,-0.8625
846,Brett,int. bathroom,morning,Yes,1,0.4019
847,Jules,int. bathroom,morning,Theres a passage I got memorized seems appropriate for this situation Ezekiel  The path of the righteous man is beset on all sides by the inequities of the selfish and the tyranny of evil men,36,-0.8176
848,Jules,int. bathroom,morning,blessed is he who in the name of charity and good will shepherded the weak through the valley of darkness And I will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers And you will know I am the Lord when I lay my vengeance upon you,57,-0.7269
849,Vincent,int. bathroom,morning,Friend of yours,3,0.4939
850,Jules,int. bathroom,morning,Yeah MarvinVincentVincentMarvin,2,0.296
851,Fourth man,int. bathroom,morning,Die die die die,4,-0.9485
853,Vincent,int. bathroom,morning,Why the fuck didnt you tell us about that guy in the bathroom Slip your mind Forget he was in there with a goddamn hand cannon,26,-0.6486
854,Jules,int. bathroom,morning,We should be fuckin dead right now Did you see that gun he fired at us It was bigger than him,21,-0.8834
856,Jules,int. bathroom,morning,We should be fuckin dead,5,-0.6486
857,Vincent,int. bathroom,morning,Yeah we were lucky,4,0.6124
858,Jules,int. bathroom,morning,That shit wasnt luck That shit was somethin else,9,-0.8651
859,Vincent,int. bathroom,morning,Yeah maybe,2,0.296
